2022-10-30 01:13:43,404 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,100 KB | PagedMem: 92,448 KB | NonPagedMem: 78 KB | ThrdCnt: 52 | HndlCnt: 1090 
2022-10-30 01:15:43,419 [30] INFO  - MONITOR  ResourceStatus: | CPU: 24% | WrkSetMem: 73,088 KB | PagedMem: 92,400 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1125 
2022-10-30 01:17:43,436 [30] INFO  - MONITOR  ResourceStatus: | CPU: 22% | WrkSetMem: 73,116 KB | PagedMem: 92,400 KB | NonPagedMem: 79 KB | ThrdCnt: 51 | HndlCnt: 1116 
2022-10-30 01:19:43,455 [30] INFO  - MONITOR  ResourceStatus: | CPU: 20% | WrkSetMem: 73,148 KB | PagedMem: 92,464 KB | NonPagedMem: 79 KB | ThrdCnt: 51 | HndlCnt: 1116 
2022-10-30 01:21:43,473 [30] INFO  - MONITOR  ResourceStatus: | CPU: 21% | WrkSetMem: 73,300 KB | PagedMem: 92,540 KB | NonPagedMem: 78 KB | ThrdCnt: 50 | HndlCnt: 1129 
2022-10-30 01:23:43,479 [30] INFO  - MONITOR  ResourceStatus: | CPU: 24% | WrkSetMem: 73,340 KB | PagedMem: 92,644 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1140 
2022-10-30 01:25:43,486 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,460 KB | PagedMem: 92,704 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1125 
2022-10-30 01:27:43,495 [30] INFO  - MONITOR  ResourceStatus: | CPU: 20% | WrkSetMem: 73,496 KB | PagedMem: 92,820 KB | NonPagedMem: 78 KB | ThrdCnt: 52 | HndlCnt: 1100 
2022-10-30 01:29:43,499 [30] INFO  - MONITOR  ResourceStatus: | CPU: 20% | WrkSetMem: 73,472 KB | PagedMem: 92,772 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1125 
2022-10-30 01:31:43,504 [30] INFO  - MONITOR  ResourceStatus: | CPU: 14% | WrkSetMem: 73,484 KB | PagedMem: 92,772 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1150 
2022-10-30 01:33:43,521 [30] INFO  - MONITOR  ResourceStatus: | CPU: 7% | WrkSetMem: 73,488 KB | PagedMem: 92,772 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1125 
2022-10-30 01:35:43,536 [30] INFO  - MONITOR  ResourceStatus: | CPU: 6% | WrkSetMem: 73,528 KB | PagedMem: 92,784 KB | NonPagedMem: 79 KB | ThrdCnt: 51 | HndlCnt: 1151 
2022-10-30 01:37:43,551 [30] INFO  - MONITOR  ResourceStatus: | CPU: 6% | WrkSetMem: 73,116 KB | PagedMem: 92,348 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1068 
2022-10-30 01:39:43,556 [30] INFO  - MONITOR  ResourceStatus: | CPU: 6% | WrkSetMem: 73,052 KB | PagedMem: 92,220 KB | NonPagedMem: 79 KB | ThrdCnt: 52 | HndlCnt: 1100 
2022-10-30 01:41:43,567 [30] INFO  - MONITOR  ResourceStatus: | CPU: 6% | WrkSetMem: 73,036 KB | PagedMem: 92,180 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1098 
2022-10-30 01:43:43,576 [30] INFO  - MONITOR  ResourceStatus: | CPU: 79% | WrkSetMem: 73,092 KB | PagedMem: 92,380 KB | NonPagedMem: 78 KB | ThrdCnt: 54 | HndlCnt: 1105 
2022-10-30 01:45:43,583 [30] INFO  - MONITOR  ResourceStatus: | CPU: 41% | WrkSetMem: 73,068 KB | PagedMem: 92,288 KB | NonPagedMem: 78 KB | ThrdCnt: 52 | HndlCnt: 1135 
2022-10-30 01:47:43,596 [30] INFO  - MONITOR  ResourceStatus: | CPU: 7% | WrkSetMem: 73,268 KB | PagedMem: 92,492 KB | NonPagedMem: 80 KB | ThrdCnt: 52 | HndlCnt: 1132 
2022-10-30 01:49:43,620 [30] INFO  - MONITOR  ResourceStatus: | CPU: 7% | WrkSetMem: 73,296 KB | PagedMem: 92,500 KB | NonPagedMem: 80 KB | ThrdCnt: 52 | HndlCnt: 1136 
2022-10-30 01:51:43,626 [30] INFO  - MONITOR  ResourceStatus: | CPU: 7% | WrkSetMem: 73,396 KB | PagedMem: 92,580 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1139 
2022-10-30 01:53:43,630 [30] INFO  - MONITOR  ResourceStatus: | CPU: 6% | WrkSetMem: 73,476 KB | PagedMem: 92,704 KB | NonPagedMem: 79 KB | ThrdCnt: 54 | HndlCnt: 1141 
2022-10-30 01:55:43,637 [30] INFO  - MONITOR  ResourceStatus: | CPU: 15% | WrkSetMem: 73,552 KB | PagedMem: 92,784 KB | NonPagedMem: 79 KB | ThrdCnt: 53 | HndlCnt: 1151 
2022-10-30 01:57:43,651 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,580 KB | PagedMem: 92,760 KB | NonPagedMem: 78 KB | ThrdCnt: 51 | HndlCnt: 1109 
2022-10-30 01:59:43,663 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,608 KB | PagedMem: 92,848 KB | NonPagedMem: 78 KB | ThrdCnt: 53 | HndlCnt: 1140 
2022-10-30 02:01:43,675 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,608 KB | PagedMem: 92,848 KB | NonPagedMem: 78 KB | ThrdCnt: 53 | HndlCnt: 1135 
2022-10-30 02:03:43,689 [30] INFO  - MONITOR  ResourceStatus: | CPU: 23% | WrkSetMem: 73,592 KB | PagedMem: 92,848 KB | NonPagedMem: 78 KB | ThrdCnt: 53 | HndlCnt: 1165 
